Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description
Physician Concierge Assessment,physician-concierge-assessment,"<p><strong>Your Recommended First Step</strong></p><p>A one-on-one consultation with Dr. James French to design a personalized health and longevity roadmap tailored to your unique goals, medical history, and lifestyle.</p><p><strong>What you'll receive:</strong></p><ul><li>60-minute physician consultation (virtual or in-person)</li><li>Comprehensive health history review</li><li>Personalized assessment recommendations</li><li>Custom longevity roadmap</li><li>Priority scheduling for follow-up services</li></ul><p><strong>Duration:</strong> 60 minutes | Delivered by Dr. James French, Physician</p>",White Pine Medical,,Health Assessment,"concierge, physician, consultation, longevity",TRUE,active,WPM-CONCIERGE,,Title,Default Title,,,,,,,,,300.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Physician Concierge Assessment | White Pine Medical,A one-on-one consultation with Dr. James French to design a personalized health and longevity roadmap.
VO₂ Max Performance Assessment,vo2-max-performance-assessment,"<p><strong>Why it matters:</strong> VO₂ max is one of the strongest functional biomarkers of healthspan and cardiovascular fitness. Low VO₂ max is associated with increased all-cause mortality.</p><p><strong>What it is:</strong> A gold-standard assessment of aerobic fitness using breath-by-breath analysis during graded exercise.</p><p><strong>Duration:</strong> 60 minutes | Delivered by Kinesiologist / Exercise Physiologist</p>",White Pine Medical,,Health Assessment,"cardiorespiratory, fitness, vo2max, longevity",TRUE,active,WPM-VO2MAX,,Title,Default Title,,,,,,,,,349.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,VO₂ Max Performance Assessment | White Pine Medical,Gold-standard assessment of aerobic fitness measuring oxygen efficiency during exercise.
Submaximal Cardiorespiratory Fitness Assessment,submaximal-cardiorespiratory-fitness-assessment,"<p><strong>Why it matters:</strong> A safe, lower-intensity way to estimate cardiovascular fitness without reaching maximal exertion.</p><p><strong>What it is:</strong> Submaximal cycle or treadmill protocol to estimate aerobic capacity using heart rate response.</p><p><strong>Duration:</strong> 45 minutes | Delivered by Kinesiologist</p>",White Pine Medical,,Health Assessment,"cardiorespiratory, fitness, submaximal",TRUE,active,WPM-SUBMAX,,Title,Default Title,,,,,,,,,249.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Submaximal Cardiorespiratory Fitness Assessment | White Pine Medical,Lower-intensity cardiovascular fitness estimation without maximal exertion.
Resting 12-Lead ECG Screening,resting-12-lead-ecg-screening,"<p><strong>Why it matters:</strong> A simple, non-invasive way to detect arrhythmias, conduction abnormalities, or early signs of heart disease.</p><p><strong>What it is:</strong> A standard 12-lead electrocardiogram performed at rest with clinical interpretation.</p><p><strong>Duration:</strong> 15 minutes | Delivered by Nurse / Kinesiologist (interpreted by Physician)</p>",White Pine Medical,,Health Assessment,"cardiac, ecg, heart, screening",TRUE,active,WPM-ECG,,Title,Default Title,,,,,,,,,129.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Resting 12-Lead ECG Screening | White Pine Medical,Non-invasive heart rhythm and electrical activity screening.
Exercise ECG Stress Test,exercise-ecg-stress-test,"<p><strong>Why it matters:</strong> Evaluates heart rhythm and blood pressure response during exercise to detect ischemia or exercise-induced arrhythmias.</p><p><strong>What it is:</strong> Graded treadmill or cycle test with continuous ECG and blood pressure monitoring.</p><p><strong>Duration:</strong> 45 minutes | Delivered by Kinesiologist (interpreted by Physician)</p>",White Pine Medical,,Health Assessment,"cardiac, ecg, stress test, exercise",TRUE,active,WPM-STRESSECG,,Title,Default Title,,,,,,,,,229.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Exercise ECG Stress Test | White Pine Medical,Heart rhythm and blood pressure evaluation during graded exercise.
Body Composition Analysis,body-composition-analysis,"<p><strong>Why it matters:</strong> Muscle mass, fat distribution, and visceral fat are independent predictors of metabolic and cardiovascular health.</p><p><strong>What it is:</strong> Bioelectrical impedance analysis (InBody) to measure segmental lean mass, fat mass, and body water.</p><p><strong>Duration:</strong> 15 minutes | Delivered by Kinesiologist</p>",White Pine Medical,,Health Assessment,"body composition, inbody, metabolic",TRUE,active,WPM-BODYCOMP,,Title,Default Title,,,,,,,,,199.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Body Composition Analysis | White Pine Medical,Measure segmental lean mass fat mass and body water with InBody analysis.
Resting Metabolic Rate Test,resting-metabolic-rate-test,"<p><strong>Why it matters:</strong> Knowing your RMR helps optimize nutrition, weight management, and metabolic health strategies.</p><p><strong>What it is:</strong> Indirect calorimetry to measure oxygen consumption at rest and calculate daily caloric needs.</p><p><strong>Duration:</strong> 30 minutes | Delivered by Kinesiologist</p>",White Pine Medical,,Health Assessment,"metabolic, rmr, nutrition, calories",TRUE,active,WPM-RMR,,Title,Default Title,,,,,,,,,229.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Resting Metabolic Rate Test | White Pine Medical,Measure oxygen consumption at rest to calculate daily caloric needs.
Metabolic Flexibility Assessment,metabolic-flexibility-assessment,"<p><strong>Why it matters:</strong> Metabolic flexibility—your ability to switch between fuel sources—is linked to insulin sensitivity and metabolic health.</p><p><strong>What it is:</strong> Combines RMR with exercise-based substrate utilization testing to assess fat vs. carbohydrate oxidation.</p><p><strong>Duration:</strong> 60 minutes | Delivered by Kinesiologist</p>",White Pine Medical,,Health Assessment,"metabolic, flexibility, substrate, nutrition",TRUE,active,WPM-METFLEX,,Title,Default Title,,,,,,,,,249.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Metabolic Flexibility Assessment | White Pine Medical,Assess your ability to switch between fat and carbohydrate fuel sources.
VR Vision Performance Screening,vr-vision-performance-screening,"<p><strong>Why it matters:</strong> Visual function affects balance, reaction time, driving safety, and cognitive performance.</p><p><strong>What it is:</strong> VR-based assessment of contrast sensitivity, peripheral vision, and eye-tracking performance.</p><p><strong>Duration:</strong> 20 minutes | Delivered by Technician</p>",White Pine Medical,,Health Assessment,"vision, vr, screening, eyes",TRUE,active,WPM-VISION,,Title,Default Title,,,,,,,,,179.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,VR Vision Performance Screening | White Pine Medical,VR-based assessment of contrast sensitivity peripheral vision and eye-tracking.
Hearing Screening,hearing-screening,"<p><strong>Why it matters:</strong> Untreated hearing loss is associated with cognitive decline, social isolation, and reduced quality of life.</p><p><strong>What it is:</strong> Pure-tone audiometry to assess hearing thresholds across key frequencies.</p><p><strong>Duration:</strong> 15 minutes | Delivered by Technician</p>",White Pine Medical,,Health Assessment,"hearing, audiometry, screening",TRUE,active,WPM-HEARING,,Title,Default Title,,,,,,,,,179.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Hearing Screening | White Pine Medical,Pure-tone audiometry to assess hearing thresholds across key frequencies.
Reaction Time & Cognitive Response Test,reaction-time-cognitive-response-test,"<p><strong>Why it matters:</strong> Reaction time reflects processing speed and neurological function—key markers of brain health.</p><p><strong>What it is:</strong> Computer-based assessment of simple and choice reaction time with cognitive load.</p><p><strong>Duration:</strong> 15 minutes | Delivered by Technician</p>",White Pine Medical,,Health Assessment,"cognitive, reaction time, brain health",TRUE,active,WPM-REACTION,,Title,Default Title,,,,,,,,,149.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Reaction Time & Cognitive Response Test | White Pine Medical,Computer-based assessment of reaction time and cognitive-motor coordination.
Balance & Proprioception Assessment,balance-proprioception-assessment,"<p><strong>Why it matters:</strong> Fall risk increases with age; balance and proprioception are trainable and protective.</p><p><strong>What it is:</strong> Static and dynamic balance testing with eyes open/closed and perturbation challenges.</p><p><strong>Duration:</strong> 20 minutes | Delivered by Kinesiologist</p>",White Pine Medical,,Health Assessment,"balance, proprioception, fall risk",TRUE,active,WPM-BALANCE,,Title,Default Title,,,,,,,,,179.00,,,FALSE,,,,,,,,,CONTINUE,,,FALSE,manual,,,,,FALSE,Balance & Proprioception Assessment | White Pine Medical,Static and dynamic balance testing for fall risk prevention.
